event_id,client_id,event_ts,event_type
E00000001,C00001,2025-01-07,login
E00000002,C00001,2025-01-16,add_user
E00000003,C00001,2024-10-14,approve_request
E00000004,C00001,2024-09-21,approve_request
E00000005,C00001,2025-04-23,approve_request
E00000006,C00001,2024-10-08,add_user
E00000007,C00002,2022-10-11,create_invoice
E00000008,C00002,2021-10-30,cancel_request
E00000009,C00002,2024-03-14,login
E00000010,C00002,2023-10-19,create_invoice
E00000011,C00002,2024-07-21,login
E00000012,C00002,2022-04-11,add_user
E00000013,C00002,2021-08-25,cancel_request
E00000014,C00002,2023-05-15,approve_request
E00000015,C00002,2021-11-15,create_invoice
E00000016,C00003,2024-12-29,approve_request
E00000017,C00003,2024-06-22,login
E00000018,C00003,2021-08-18,approve_request
E00000019,C00003,2023-01-04,approve_request
E00000020,C00003,2023-10-05,add_user
E00000021,C00003,2021-05-26,add_user
E00000022,C00003,2021-09-20,cancel_request
E00000023,C00003,2024-01-23,login
E00000024,C00003,2024-11-01,add_user
E00000025,C00003,2025-04-27,add_user
E00000026,C00004,2024-04-17,create_invoice
E00000027,C00004,2022-09-02,cancel_request
E00000028,C00004,2024-04-17,approve_request
E00000029,C00004,2023-09-20,approve_request
E00000030,C00004,2024-05-05,add_user
E00000031,C00004,2023-09-01,add_user
E00000032,C00004,2023-08-16,cancel_request
E00000033,C00004,2024-02-24,cancel_request
E00000034,C00004,2024-02-04,login
E00000035,C00005,2025-05-11,approve_request
E00000036,C00005,2024-02-29,cancel_request
E00000037,C00005,2024-11-05,create_invoice
E00000038,C00005,2023-01-12,login
E00000039,C00005,2023-11-26,cancel_request
E00000040,C00005,2023-03-18,add_user
E00000041,C00005,2023-04-04,cancel_request
E00000042,C00005,2023-11-28,add_user
E00000043,C00005,2023-01-06,add_user
E00000044,C00005,2022-06-17,approve_request
E00000045,C00006,2025-05-23,cancel_request
E00000046,C00006,2025-02-18,cancel_request
E00000047,C00006,2022-10-29,create_invoice
E00000048,C00006,2023-05-31,login
E00000049,C00006,2025-04-18,login
E00000050,C00006,2024-03-20,cancel_request
E00000051,C00007,2024-11-11,create_invoice
E00000052,C00007,2023-07-27,login
E00000053,C00007,2023-04-21,cancel_request
E00000054,C00007,2022-07-29,approve_request
E00000055,C00007,2023-05-16,approve_request
E00000056,C00007,2024-12-31,approve_request
E00000057,C00008,2022-12-12,add_user
E00000058,C00008,2022-07-14,approve_request
E00000059,C00008,2021-12-21,cancel_request
E00000060,C00008,2023-04-27,create_invoice
E00000061,C00008,2025-01-04,cancel_request
E00000062,C00008,2023-06-22,approve_request
E00000063,C00008,2024-08-09,create_invoice
E00000064,C00008,2024-01-23,login
E00000065,C00008,2021-11-09,login
E00000066,C00008,2022-04-21,cancel_request
E00000067,C00009,2024-10-24,cancel_request
E00000068,C00009,2025-02-14,create_invoice
E00000069,C00009,2025-04-07,create_invoice
E00000070,C00009,2024-10-29,cancel_request
E00000071,C00009,2024-11-13,create_invoice
E00000072,C00009,2025-01-23,approve_request
E00000073,C00009,2024-10-30,create_invoice
E00000074,C00010,2024-03-06,create_invoice
E00000075,C00010,2024-08-27,cancel_request
E00000076,C00010,2024-08-09,login
E00000077,C00010,2024-04-22,add_user
E00000078,C00010,2025-01-16,create_invoice
E00000079,C00010,2024-11-22,add_user
E00000080,C00010,2025-04-22,create_invoice
E00000081,C00010,2024-11-20,cancel_request
E00000082,C00010,2024-12-09,cancel_request
E00000083,C00010,2025-03-25,create_invoice
E00000084,C00011,2025-05-11,cancel_request
E00000085,C00011,2025-05-30,create_invoice
E00000086,C00011,2023-12-28,login
E00000087,C00011,2024-12-11,create_invoice
E00000088,C00011,2023-06-26,login
E00000089,C00011,2023-03-29,cancel_request
E00000090,C00011,2023-05-09,login
E00000091,C00011,2022-08-07,cancel_request
E00000092,C00011,2025-04-01,login
E00000093,C00012,2025-01-22,create_invoice
E00000094,C00012,2024-06-03,login
E00000095,C00012,2025-05-15,cancel_request
E00000096,C00012,2025-05-20,create_invoice
E00000097,C00012,2024-12-18,login
E00000098,C00013,2024-12-16,add_user
E00000099,C00013,2023-09-26,create_invoice
E00000100,C00013,2023-08-18,add_user
E00000101,C00013,2025-04-29,add_user
E00000102,C00013,2024-09-05,create_invoice
E00000103,C00013,2023-08-22,cancel_request
E00000104,C00013,2024-08-23,cancel_request
E00000105,C00014,2022-12-02,cancel_request
E00000106,C00014,2025-01-06,approve_request
E00000107,C00014,2024-10-16,add_user
E00000108,C00014,2025-02-28,create_invoice
E00000109,C00014,2023-10-16,cancel_request
E00000110,C00014,2023-10-26,cancel_request
E00000111,C00014,2022-06-24,create_invoice
E00000112,C00014,2022-06-08,add_user
E00000113,C00014,2021-12-26,create_invoice
E00000114,C00014,2024-08-21,approve_request
E00000115,C00015,2022-08-13,approve_request
E00000116,C00015,2023-03-17,create_invoice
E00000117,C00015,2023-05-14,add_user
E00000118,C00015,2022-03-13,cancel_request
E00000119,C00015,2025-02-02,approve_request
E00000120,C00015,2024-11-24,approve_request
E00000121,C00015,2023-01-08,add_user
E00000122,C00015,2022-12-28,approve_request
E00000123,C00015,2023-09-17,approve_request
E00000124,C00015,2023-11-26,add_user
E00000125,C00016,2021-09-10,create_invoice
E00000126,C00016,2021-11-21,cancel_request
E00000127,C00016,2024-03-10,cancel_request
E00000128,C00016,2022-02-27,approve_request
E00000129,C00016,2023-06-30,cancel_request
E00000130,C00016,2024-03-17,create_invoice
E00000131,C00016,2024-02-10,approve_request
E00000132,C00016,2022-06-25,cancel_request
E00000133,C00016,2023-02-09,login
E00000134,C00016,2023-06-24,login
E00000135,C00017,2022-12-09,login
E00000136,C00017,2025-01-27,login
E00000137,C00017,2022-10-20,approve_request
E00000138,C00017,2024-07-01,add_user
E00000139,C00017,2022-10-29,add_user
E00000140,C00018,2024-02-18,approve_request
E00000141,C00018,2022-09-14,create_invoice
E00000142,C00018,2023-12-31,add_user
E00000143,C00018,2025-04-17,login
E00000144,C00018,2024-11-21,approve_request
E00000145,C00018,2024-07-20,login
E00000146,C00019,2024-12-28,cancel_request
E00000147,C00019,2024-07-02,cancel_request
E00000148,C00019,2024-07-07,approve_request
E00000149,C00019,2025-05-15,create_invoice
E00000150,C00019,2024-04-11,login
E00000151,C00019,2025-03-08,approve_request
E00000152,C00019,2024-11-28,create_invoice
E00000153,C00019,2024-01-07,login
E00000154,C00020,2024-11-07,cancel_request
E00000155,C00020,2024-08-31,create_invoice
E00000156,C00020,2025-05-07,login
E00000157,C00020,2025-03-15,approve_request
E00000158,C00020,2024-12-23,login
E00000159,C00020,2024-12-25,approve_request
E00000160,C00020,2025-03-03,cancel_request
E00000161,C00020,2024-11-08,cancel_request
E00000162,C00021,2024-03-15,login
E00000163,C00021,2025-01-15,approve_request
E00000164,C00021,2022-06-22,approve_request
E00000165,C00021,2022-02-13,create_invoice
E00000166,C00021,2024-11-12,create_invoice
E00000167,C00022,2025-01-31,login
E00000168,C00022,2024-04-03,create_invoice
E00000169,C00022,2025-03-08,login
E00000170,C00022,2025-02-22,cancel_request
E00000171,C00022,2024-12-13,add_user
E00000172,C00022,2025-04-27,cancel_request
E00000173,C00022,2024-10-30,login
E00000174,C00023,2022-10-04,add_user
E00000175,C00023,2024-09-17,approve_request
E00000176,C00023,2023-12-10,approve_request
E00000177,C00023,2025-03-24,approve_request
E00000178,C00023,2022-08-30,create_invoice
E00000179,C00024,2025-04-07,create_invoice
E00000180,C00024,2024-11-21,create_invoice
E00000181,C00024,2025-01-27,approve_request
E00000182,C00024,2025-03-18,approve_request
E00000183,C00024,2024-09-27,add_user
E00000184,C00024,2024-10-17,add_user
E00000185,C00025,2025-05-08,add_user
E00000186,C00025,2025-03-14,create_invoice
E00000187,C00025,2025-02-28,login
E00000188,C00025,2025-04-12,create_invoice
E00000189,C00025,2025-05-21,create_invoice
E00000190,C00025,2025-05-25,add_user
E00000191,C00025,2024-12-22,login
E00000192,C00026,2024-03-08,cancel_request
E00000193,C00026,2024-05-12,cancel_request
E00000194,C00026,2025-03-15,login
E00000195,C00026,2024-04-02,approve_request
E00000196,C00026,2025-04-20,login
E00000197,C00026,2024-11-14,add_user
E00000198,C00026,2025-04-28,create_invoice
E00000199,C00026,2025-02-11,create_invoice
E00000200,C00026,2024-12-12,add_user
E00000201,C00027,2023-05-10,create_invoice
E00000202,C00027,2023-10-07,approve_request
E00000203,C00027,2025-03-16,approve_request
E00000204,C00027,2023-10-09,approve_request
E00000205,C00027,2024-08-15,add_user
E00000206,C00027,2024-11-04,create_invoice
E00000207,C00027,2024-03-03,create_invoice
E00000208,C00027,2024-06-12,create_invoice
E00000209,C00028,2024-09-28,login
E00000210,C00028,2023-05-02,login
E00000211,C00028,2023-05-23,cancel_request
E00000212,C00028,2024-01-05,login
E00000213,C00028,2023-12-01,approve_request
E00000214,C00028,2023-12-11,approve_request
E00000215,C00028,2024-09-03,approve_request
E00000216,C00028,2024-03-02,approve_request
E00000217,C00028,2022-09-26,cancel_request
E00000218,C00028,2022-04-13,approve_request
E00000219,C00029,2025-03-26,add_user
E00000220,C00029,2024-12-12,add_user
E00000221,C00029,2024-08-25,login
E00000222,C00029,2023-11-16,create_invoice
E00000223,C00029,2024-05-05,cancel_request
E00000224,C00029,2023-09-10,add_user
E00000225,C00029,2024-07-21,add_user
E00000226,C00029,2025-01-21,approve_request
E00000227,C00030,2024-05-18,approve_request
E00000228,C00030,2024-04-21,approve_request
E00000229,C00030,2025-04-16,create_invoice
E00000230,C00030,2025-02-01,login
E00000231,C00030,2024-10-21,approve_request
E00000232,C00030,2024-06-16,approve_request
E00000233,C00030,2024-09-12,create_invoice
E00000234,C00030,2024-05-06,approve_request
E00000235,C00031,2023-11-17,login
E00000236,C00031,2024-12-24,cancel_request
E00000237,C00031,2024-10-08,add_user
E00000238,C00031,2024-05-05,login
E00000239,C00031,2024-09-14,add_user
E00000240,C00031,2024-11-01,approve_request
E00000241,C00031,2024-09-12,create_invoice
E00000242,C00031,2024-12-31,cancel_request
E00000243,C00031,2023-09-29,add_user
E00000244,C00032,2024-10-01,cancel_request
E00000245,C00032,2022-01-04,cancel_request
E00000246,C00032,2023-09-13,add_user
E00000247,C00032,2021-10-25,approve_request
E00000248,C00032,2022-02-03,create_invoice
E00000249,C00032,2024-02-25,add_user
E00000250,C00033,2024-01-19,cancel_request
E00000251,C00033,2023-11-30,login
E00000252,C00033,2024-03-26,approve_request
E00000253,C00033,2022-10-04,login
E00000254,C00033,2023-07-06,create_invoice
E00000255,C00033,2022-08-07,add_user
E00000256,C00033,2022-08-25,cancel_request
E00000257,C00033,2021-12-16,approve_request
E00000258,C00033,2022-04-18,cancel_request
E00000259,C00034,2025-05-14,login
E00000260,C00034,2024-12-04,login
E00000261,C00034,2025-05-01,add_user
E00000262,C00034,2025-04-03,approve_request
E00000263,C00034,2025-05-17,approve_request
E00000264,C00034,2025-03-21,add_user
E00000265,C00034,2025-01-03,login
E00000266,C00034,2024-12-21,login
E00000267,C00034,2025-01-04,login
E00000268,C00034,2025-05-13,cancel_request
E00000269,C00035,2024-07-14,login
E00000270,C00035,2024-08-24,create_invoice
E00000271,C00035,2025-04-27,create_invoice
E00000272,C00035,2025-01-23,approve_request
E00000273,C00035,2024-07-24,add_user
E00000274,C00035,2025-02-12,cancel_request
E00000275,C00035,2023-11-16,create_invoice
E00000276,C00036,2024-03-07,approve_request
E00000277,C00036,2024-05-02,login
E00000278,C00036,2024-02-05,create_invoice
E00000279,C00036,2024-06-15,add_user
E00000280,C00036,2025-03-16,approve_request
E00000281,C00036,2024-03-02,cancel_request
E00000282,C00036,2023-12-26,login
E00000283,C00036,2023-11-26,cancel_request
E00000284,C00036,2023-07-17,add_user
E00000285,C00037,2023-08-08,add_user
E00000286,C00037,2024-12-09,cancel_request
E00000287,C00037,2022-08-08,cancel_request
E00000288,C00037,2025-05-09,add_user
E00000289,C00037,2023-11-20,add_user
E00000290,C00037,2025-05-16,add_user
E00000291,C00037,2024-01-26,login
E00000292,C00038,2024-03-05,approve_request
E00000293,C00038,2024-12-07,login
E00000294,C00038,2025-02-07,login
E00000295,C00038,2023-12-06,login
E00000296,C00038,2022-01-22,approve_request
E00000297,C00038,2022-01-31,add_user
E00000298,C00038,2025-01-21,cancel_request
E00000299,C00038,2024-07-31,create_invoice
E00000300,C00038,2023-12-09,create_invoice
E00000301,C00039,2022-11-03,approve_request
E00000302,C00039,2024-11-27,create_invoice
E00000303,C00039,2022-08-27,login
E00000304,C00039,2023-01-01,create_invoice
E00000305,C00039,2025-02-27,cancel_request
E00000306,C00039,2023-10-10,login
E00000307,C00039,2024-10-24,create_invoice
E00000308,C00039,2025-02-07,cancel_request
E00000309,C00039,2022-08-24,approve_request
E00000310,C00040,2024-05-09,approve_request
E00000311,C00040,2025-05-20,login
E00000312,C00040,2024-08-06,cancel_request
E00000313,C00040,2023-02-19,add_user
E00000314,C00040,2023-07-30,add_user
E00000315,C00040,2024-03-18,add_user
E00000316,C00040,2024-08-27,add_user
E00000317,C00040,2024-12-19,add_user
E00000318,C00040,2024-09-30,approve_request
E00000319,C00041,2025-04-28,login
E00000320,C00041,2022-01-04,add_user
E00000321,C00041,2025-05-29,add_user
E00000322,C00041,2025-02-15,login
E00000323,C00041,2024-08-06,login
E00000324,C00041,2024-10-28,add_user
E00000325,C00041,2023-04-29,approve_request
E00000326,C00041,2025-01-04,login
E00000327,C00041,2021-11-14,cancel_request
E00000328,C00042,2023-06-12,approve_request
E00000329,C00042,2024-07-08,create_invoice
E00000330,C00042,2021-07-31,approve_request
E00000331,C00042,2024-02-24,add_user
E00000332,C00042,2024-01-24,create_invoice
E00000333,C00042,2024-05-23,add_user
E00000334,C00042,2024-02-24,cancel_request
E00000335,C00042,2024-09-26,login
E00000336,C00042,2023-05-18,add_user
E00000337,C00043,2024-04-24,approve_request
E00000338,C00043,2024-02-14,add_user
E00000339,C00043,2025-05-15,cancel_request
E00000340,C00043,2023-12-16,login
E00000341,C00043,2023-12-11,add_user
E00000342,C00043,2023-08-08,cancel_request
E00000343,C00043,2023-03-26,add_user
E00000344,C00043,2025-01-29,login
E00000345,C00043,2024-10-21,add_user
E00000346,C00044,2023-04-01,cancel_request
E00000347,C00044,2024-09-14,create_invoice
E00000348,C00044,2023-01-02,add_user
E00000349,C00044,2021-11-20,create_invoice
E00000350,C00044,2025-01-26,approve_request
E00000351,C00044,2024-03-13,add_user
E00000352,C00044,2024-10-14,create_invoice
E00000353,C00044,2022-06-29,approve_request
E00000354,C00045,2024-08-14,cancel_request
E00000355,C00045,2023-02-27,add_user
E00000356,C00045,2024-11-08,cancel_request
E00000357,C00045,2023-10-31,approve_request
E00000358,C00045,2025-04-13,cancel_request
E00000359,C00045,2025-01-30,cancel_request
E00000360,C00045,2024-10-06,login
E00000361,C00045,2023-02-02,approve_request
E00000362,C00045,2023-10-26,cancel_request
E00000363,C00045,2024-05-16,create_invoice
E00000364,C00046,2023-02-28,login
E00000365,C00046,2023-04-14,add_user
E00000366,C00046,2024-05-06,cancel_request
E00000367,C00046,2023-02-22,create_invoice
E00000368,C00046,2025-04-25,login
E00000369,C00046,2025-02-15,approve_request
E00000370,C00047,2024-10-10,cancel_request
E00000371,C00047,2024-09-27,login
E00000372,C00047,2024-07-27,login
E00000373,C00047,2025-04-01,create_invoice
E00000374,C00047,2024-10-11,add_user
E00000375,C00047,2024-10-08,add_user
E00000376,C00047,2024-09-29,add_user
E00000377,C00047,2024-05-28,approve_request
E00000378,C00047,2024-07-17,login
E00000379,C00047,2025-03-26,approve_request
E00000380,C00048,2023-06-18,create_invoice
E00000381,C00048,2023-05-01,create_invoice
E00000382,C00048,2024-12-26,approve_request
E00000383,C00048,2024-07-22,approve_request
E00000384,C00048,2023-06-20,create_invoice
E00000385,C00049,2022-09-16,add_user
E00000386,C00049,2025-03-04,add_user
E00000387,C00049,2022-07-26,create_invoice
E00000388,C00049,2023-12-18,add_user
E00000389,C00049,2022-04-04,cancel_request
E00000390,C00049,2024-03-14,cancel_request
E00000391,C00049,2021-06-05,login
E00000392,C00049,2023-03-02,approve_request
E00000393,C00049,2021-09-18,add_user
E00000394,C00050,2023-12-25,approve_request
E00000395,C00050,2025-03-30,approve_request
E00000396,C00050,2024-01-03,login
E00000397,C00050,2024-12-18,approve_request
E00000398,C00050,2024-09-24,approve_request
E00000399,C00050,2024-08-25,create_invoice
E00000400,C00050,2024-03-29,login
E00000401,C00050,2024-10-22,login
E00000402,C00050,2025-05-12,add_user
E00000403,C00051,2024-06-23,add_user
E00000404,C00051,2024-08-06,cancel_request
E00000405,C00051,2024-12-22,approve_request
E00000406,C00051,2024-02-28,cancel_request
E00000407,C00051,2024-09-30,create_invoice
E00000408,C00051,2024-05-01,approve_request
E00000409,C00052,2021-12-29,add_user
E00000410,C00052,2022-08-22,approve_request
E00000411,C00052,2024-04-20,add_user
E00000412,C00052,2023-12-08,approve_request
E00000413,C00052,2024-05-15,login
E00000414,C00052,2023-05-23,add_user
E00000415,C00052,2024-05-15,approve_request
E00000416,C00052,2024-09-07,approve_request
E00000417,C00053,2023-10-12,login
E00000418,C00053,2024-03-09,add_user
E00000419,C00053,2025-01-14,approve_request
E00000420,C00053,2025-02-06,login
E00000421,C00053,2024-03-20,cancel_request
E00000422,C00053,2024-06-14,create_invoice
E00000423,C00053,2023-11-10,add_user
E00000424,C00053,2023-07-13,approve_request
E00000425,C00054,2024-06-01,login
E00000426,C00054,2023-11-18,cancel_request
E00000427,C00054,2021-07-05,add_user
E00000428,C00054,2023-01-23,login
E00000429,C00054,2023-12-17,cancel_request
E00000430,C00055,2024-08-18,cancel_request
E00000431,C00055,2025-01-17,add_user
E00000432,C00055,2024-07-15,cancel_request
E00000433,C00055,2024-11-02,login
E00000434,C00055,2025-01-19,login
E00000435,C00055,2024-02-26,create_invoice
E00000436,C00056,2022-12-01,approve_request
E00000437,C00056,2025-03-20,add_user
E00000438,C00056,2024-02-19,create_invoice
E00000439,C00056,2024-06-06,cancel_request
E00000440,C00056,2023-08-21,approve_request
E00000441,C00056,2025-04-29,create_invoice
E00000442,C00056,2025-01-04,login
E00000443,C00056,2023-11-09,add_user
E00000444,C00056,2024-05-10,cancel_request
E00000445,C00057,2024-11-27,approve_request
E00000446,C00057,2024-12-29,login
E00000447,C00057,2024-11-26,create_invoice
E00000448,C00057,2024-11-24,add_user
E00000449,C00057,2024-08-30,create_invoice
E00000450,C00057,2024-11-18,create_invoice
E00000451,C00057,2025-05-06,approve_request
E00000452,C00057,2025-01-27,login
E00000453,C00057,2025-03-04,cancel_request
E00000454,C00057,2024-11-11,approve_request
E00000455,C00058,2025-05-30,add_user
E00000456,C00058,2025-04-17,create_invoice
E00000457,C00058,2024-09-27,add_user
E00000458,C00058,2025-03-13,approve_request
E00000459,C00058,2024-12-09,approve_request
E00000460,C00058,2024-09-20,cancel_request
E00000461,C00058,2024-11-27,create_invoice
E00000462,C00058,2025-03-27,approve_request
E00000463,C00058,2024-06-25,add_user
E00000464,C00058,2025-05-30,cancel_request
E00000465,C00059,2023-01-19,create_invoice
E00000466,C00059,2025-05-11,cancel_request
E00000467,C00059,2023-03-21,cancel_request
E00000468,C00059,2023-01-23,cancel_request
E00000469,C00059,2024-03-07,login
E00000470,C00059,2023-04-21,cancel_request
E00000471,C00059,2024-07-01,add_user
E00000472,C00059,2023-04-27,add_user
E00000473,C00060,2025-03-13,approve_request
E00000474,C00060,2024-11-11,approve_request
E00000475,C00060,2024-09-23,login
E00000476,C00060,2024-07-18,cancel_request
E00000477,C00060,2025-04-03,login
E00000478,C00060,2024-08-20,create_invoice
E00000479,C00060,2024-08-03,create_invoice
E00000480,C00061,2023-02-28,create_invoice
E00000481,C00061,2022-04-08,cancel_request
E00000482,C00061,2022-03-18,add_user
E00000483,C00061,2022-08-05,create_invoice
E00000484,C00061,2022-05-25,login
E00000485,C00061,2025-05-29,cancel_request
E00000486,C00062,2025-05-30,create_invoice
E00000487,C00062,2025-02-06,cancel_request
E00000488,C00062,2025-05-15,create_invoice
E00000489,C00062,2025-05-25,add_user
E00000490,C00062,2025-01-13,approve_request
E00000491,C00062,2025-01-12,cancel_request
E00000492,C00062,2025-01-04,login
E00000493,C00063,2024-10-12,approve_request
E00000494,C00063,2022-02-13,login
E00000495,C00063,2023-07-01,login
E00000496,C00063,2025-01-26,add_user
E00000497,C00063,2025-01-08,approve_request
E00000498,C00063,2024-07-25,cancel_request
E00000499,C00063,2022-06-05,approve_request
E00000500,C00064,2021-11-17,login
E00000501,C00064,2025-02-26,add_user
E00000502,C00064,2022-04-16,add_user
E00000503,C00064,2022-09-04,approve_request
E00000504,C00064,2022-11-28,approve_request
E00000505,C00064,2023-11-16,create_invoice
E00000506,C00065,2024-10-24,login
E00000507,C00065,2025-05-06,cancel_request
E00000508,C00065,2025-02-04,cancel_request
E00000509,C00065,2025-04-22,add_user
E00000510,C00065,2025-02-28,login
E00000511,C00065,2025-01-25,add_user
E00000512,C00065,2024-12-07,cancel_request
E00000513,C00065,2024-10-23,approve_request
E00000514,C00065,2025-02-04,login
E00000515,C00065,2024-10-17,login
E00000516,C00066,2024-06-03,create_invoice
E00000517,C00066,2024-06-15,approve_request
E00000518,C00066,2024-02-22,approve_request
E00000519,C00066,2022-08-13,add_user
E00000520,C00066,2023-09-22,login
E00000521,C00066,2023-10-06,add_user
E00000522,C00066,2023-04-11,approve_request
E00000523,C00066,2024-09-30,create_invoice
E00000524,C00066,2022-09-01,login
E00000525,C00066,2025-01-13,approve_request
E00000526,C00067,2025-05-14,cancel_request
E00000527,C00067,2025-03-23,approve_request
E00000528,C00067,2023-03-09,cancel_request
E00000529,C00067,2024-05-01,add_user
E00000530,C00067,2023-09-22,cancel_request
E00000531,C00067,2023-02-14,approve_request
E00000532,C00067,2024-06-06,cancel_request
E00000533,C00068,2024-03-16,approve_request
E00000534,C00068,2022-01-21,create_invoice
E00000535,C00068,2022-04-03,cancel_request
E00000536,C00068,2024-06-24,login
E00000537,C00068,2023-11-13,add_user
E00000538,C00069,2023-07-13,cancel_request
E00000539,C00069,2022-11-25,add_user
E00000540,C00069,2024-10-12,create_invoice
E00000541,C00069,2023-10-04,approve_request
E00000542,C00069,2022-11-19,login
E00000543,C00069,2022-07-02,cancel_request
E00000544,C00069,2022-09-18,add_user
E00000545,C00069,2022-09-13,approve_request
E00000546,C00070,2024-10-08,create_invoice
E00000547,C00070,2022-12-21,add_user
E00000548,C00070,2024-01-25,add_user
E00000549,C00070,2021-09-02,login
E00000550,C00070,2024-05-10,create_invoice
E00000551,C00070,2022-05-26,create_invoice
E00000552,C00070,2025-03-24,cancel_request
E00000553,C00070,2025-02-26,login
E00000554,C00070,2021-07-27,cancel_request
E00000555,C00070,2021-10-11,login
E00000556,C00071,2024-12-29,login
E00000557,C00071,2024-03-23,login
E00000558,C00071,2023-11-17,login
E00000559,C00071,2023-07-23,approve_request
E00000560,C00071,2025-02-03,approve_request
E00000561,C00071,2024-01-21,create_invoice
E00000562,C00071,2024-03-24,login
E00000563,C00072,2022-07-31,approve_request
E00000564,C00072,2025-04-23,login
E00000565,C00072,2025-03-29,cancel_request
E00000566,C00072,2025-01-02,approve_request
E00000567,C00072,2024-10-28,approve_request
E00000568,C00072,2022-12-14,approve_request
E00000569,C00072,2023-10-29,login
E00000570,C00073,2023-07-21,add_user
E00000571,C00073,2024-08-14,cancel_request
E00000572,C00073,2024-11-22,cancel_request
E00000573,C00073,2023-11-19,create_invoice
E00000574,C00073,2025-02-17,login
E00000575,C00073,2025-01-16,approve_request
E00000576,C00073,2024-07-19,add_user
