subscription_id,client_id,plan,start_date,end_date,amount,currency,status
S0000001,C00001,Standard,2024-08-02,,50,USD,active
S0000002,C00002,Pro,2021-08-17,,100,USD,active
S0000003,C00003,Enterprise,2021-02-21,,200,USD,active
S0000004,C00004,Standard,2022-07-18,,50,USD,active
S0000005,C00005,Standard,2022-05-17,2024-04-06,50,USD,expired
S0000006,C00006,Enterprise,2022-04-03,2022-11-29,200,USD,expired
S0000007,C00007,Standard,2021-10-13,,50,USD,active
S0000008,C00008,Pro,2021-07-29,,100,USD,active
S0000009,C00009,Enterprise,2024-10-17,2025-08-13,200,USD,expired
S0000010,C00010,Pro,2024-01-22,,100,USD,active
S0000011,C00011,Standard,2021-06-28,2022-03-25,50,USD,expired
S0000012,C00012,Enterprise,2024-04-24,,200,USD,active
S0000013,C00013,Enterprise,2023-05-15,,200,USD,active
S0000014,C00014,Enterprise,2021-03-07,,200,USD,active
S0000015,C00015,Enterprise,2021-03-03,,200,USD,active
S0000016,C00016,Standard,2021-07-11,,50,USD,active
S0000017,C00017,Standard,2022-03-24,,50,USD,active
S0000018,C00018,Standard,2022-04-22,2022-12-18,50,USD,expired
S0000019,C00019,Enterprise,2023-11-01,,200,USD,active
S0000020,C00020,Enterprise,2024-05-17,,200,USD,active
S0000021,C00021,Standard,2021-02-24,2021-11-21,50,USD,expired
S0000022,C00022,Standard,2024-02-24,2025-09-16,50,USD,expired
S0000023,C00023,Pro,2022-02-12,,100,USD,active
S0000024,C00024,Pro,2024-08-23,,100,USD,active
S0000025,C00025,Enterprise,2024-12-07,,200,USD,active
S0000026,C00026,Enterprise,2024-01-22,,200,USD,active
S0000027,C00027,Standard,2023-05-10,2024-03-05,50,USD,expired
S0000028,C00028,Enterprise,2022-03-28,,200,USD,active
S0000029,C00029,Pro,2023-07-09,,100,USD,active
S0000030,C00030,Pro,2024-04-21,,100,USD,active
S0000031,C00031,Standard,2022-07-24,,50,USD,active
S0000032,C00032,Enterprise,2021-01-14,,200,USD,active
S0000033,C00033,Standard,2021-11-23,,50,USD,active
S0000034,C00034,Pro,2024-11-30,,100,USD,active
S0000035,C00035,Pro,2023-05-16,2024-12-06,100,USD,expired
S0000036,C00036,Standard,2022-11-28,2024-06-20,50,USD,expired
S0000037,C00037,Standard,2022-07-24,2024-01-15,50,USD,expired
S0000038,C00038,Pro,2021-11-15,,100,USD,active
S0000039,C00039,Enterprise,2022-03-17,2024-03-06,200,USD,expired
S0000040,C00040,Pro,2022-11-21,,100,USD,active
S0000041,C00041,Standard,2021-07-29,,50,USD,active
S0000042,C00042,Standard,2021-07-09,2022-05-05,50,USD,expired
S0000043,C00043,Pro,2023-02-18,,100,USD,active
S0000044,C00044,Enterprise,2021-07-18,,200,USD,active
S0000045,C00045,Pro,2023-01-06,2023-07-05,100,USD,expired
S0000046,C00046,Standard,2022-12-06,,50,USD,active
S0000047,C00047,Pro,2024-05-21,,100,USD,active
S0000048,C00048,Enterprise,2022-06-26,,200,USD,active
S0000049,C00049,Enterprise,2021-03-30,,200,USD,active
S0000050,C00050,Pro,2023-07-30,,100,USD,active
S0000051,C00051,Enterprise,2024-01-04,,200,USD,active
S0000052,C00052,Standard,2021-09-13,2022-03-12,50,USD,expired
S0000053,C00053,Pro,2023-02-15,,100,USD,active
S0000054,C00054,Standard,2021-06-11,2022-02-06,50,USD,expired
S0000055,C00055,Standard,2024-02-05,,50,USD,active
S0000056,C00056,Enterprise,2022-08-24,2024-02-15,200,USD,expired
S0000057,C00057,Standard,2024-07-11,,50,USD,active
S0000058,C00058,Standard,2024-06-20,2025-06-15,50,USD,expired
S0000059,C00059,Standard,2023-01-11,,50,USD,active
S0000060,C00060,Standard,2024-03-28,2025-04-22,50,USD,expired
S0000061,C00061,Enterprise,2022-01-29,,200,USD,active
S0000062,C00062,Pro,2024-12-13,2025-10-09,100,USD,expired
S0000063,C00063,Standard,2021-05-23,2022-03-19,50,USD,expired
S0000064,C00064,Pro,2021-04-04,2021-10-31,100,USD,expired
S0000065,C00065,Pro,2024-09-16,,100,USD,active
S0000066,C00066,Enterprise,2022-04-12,2022-10-09,200,USD,expired
S0000067,C00067,Standard,2022-08-16,,50,USD,active
S0000068,C00068,Standard,2021-06-13,2022-12-05,50,USD,expired
S0000069,C00069,Enterprise,2022-04-22,,200,USD,active
S0000070,C00070,Pro,2021-07-26,,100,USD,active
S0000071,C00071,Standard,2023-02-18,,50,USD,active
S0000072,C00072,Standard,2022-07-24,,50,USD,active
S0000073,C00073,Enterprise,2023-07-18,,200,USD,active
S0000074,C00074,Pro,2024-07-25,,100,USD,active
S0000075,C00075,Pro,2023-01-18,,100,USD,active
S0000076,C00076,Standard,2021-11-30,,50,USD,active
S0000077,C00077,Pro,2023-01-29,,100,USD,active
S0000078,C00078,Pro,2022-12-29,,100,USD,active
S0000079,C00079,Standard,2022-03-06,,50,USD,active
S0000080,C00080,Enterprise,2024-10-04,2026-06-26,200,USD,expired
S0000081,C00081,Enterprise,2022-07-01,,200,USD,active
S0000082,C00082,Standard,2024-12-08,,50,USD,active
S0000083,C00083,Pro,2024-10-31,,100,USD,active
S0000084,C00084,Standard,2024-08-20,,50,USD,active
S0000085,C00085,Pro,2021-05-27,,100,USD,active
S0000086,C00086,Standard,2024-06-01,,50,USD,active
S0000087,C00087,Pro,2024-07-24,,100,USD,active
S0000088,C00088,Pro,2021-12-17,,100,USD,active
S0000089,C00089,Standard,2023-12-30,,50,USD,active
S0000090,C00090,Standard,2022-05-17,2023-04-12,50,USD,expired
S0000091,C00091,Standard,2021-12-01,2022-10-27,50,USD,expired
S0000092,C00092,Pro,2023-08-05,,100,USD,active
S0000093,C00093,Enterprise,2023-02-17,,200,USD,active
S0000094,C00094,Pro,2022-07-07,,100,USD,active
S0000095,C00095,Standard,2024-08-03,,46,USD,active
S0000096,C00096,Standard,2024-11-10,,50,USD,active
S0000097,C00097,Enterprise,2024-02-15,,200,USD,active
S0000098,C00098,Pro,2022-03-26,,100,USD,active
S0000099,C00099,Enterprise,2024-11-03,,200,USD,active
S0000100,C00100,Enterprise,2022-10-27,,200,USD,active
S0000101,C00101,Enterprise,2021-04-25,,200,USD,active
S0000102,C00102,Enterprise,2022-04-15,,200,USD,active
S0000103,C00103,Standard,2021-03-07,2022-01-31,50,USD,expired
S0000104,C00104,Pro,2022-10-09,2023-05-07,100,USD,expired
S0000105,C00105,Enterprise,2023-04-02,2024-10-23,200,USD,expired
S0000106,C00106,Standard,2022-07-03,,50,USD,active
S0000107,C00107,Pro,2021-05-16,2022-02-10,100,USD,expired
S0000108,C00108,Enterprise,2022-03-09,,200,USD,active
S0000109,C00109,Enterprise,2024-03-07,,200,USD,active
